# WV(Ang)	Flux_Pri	Flux_Sec
5138.25980917	0.98246819	0.64355384
5138.28879589	0.97885739	0.62407358
5138.31790109	0.99159024	0.60183840
5138.34700645	0.97039403	0.56781408
5138.37599366	1.01132969	0.60028547
5138.40509935	1.00667222	0.62858807
5138.43420521	1.00205524	0.59720674
5138.46331123	1.04112153	0.57191763
5138.49229909	1.04211014	0.64988118
5138.52140544	0.98438924	0.61296392
5138.55051196	1.01376468	0.65758917
5138.57961864	1.04478560	0.64594231
5138.60860716	1.02610109	0.65474766
5138.63771417	1.02673995	0.66791532
5138.66682134	1.02964438	0.64544815
5138.69592868	1.03542301	0.64487907
5138.72491786	1.04125575	0.66188430
5138.75402552	1.02182729	0.67011953
5138.78313336	1.02908466	0.69845684
5138.81224135	1.04098088	0.65258078
5138.84123119	1.05901187	0.64294956
5138.87033951	1.05810536	0.67565483
5138.89944800	1.04487913	0.75622965
5138.92843833	1.03732785	0.75996092
5138.95754715	1.02932395	0.74388633
5138.98665614	1.04231713	0.78356169
5139.01576529	1.07992099	0.80576068
5139.04475627	1.08840397	0.84630534
5139.07386575	1.06605828	0.79661518
5139.10297539	1.04186613	0.80619777
5139.13208520	1.03891633	0.78920857
5139.16107684	1.05056234	0.79061196
5139.19018698	1.05032775	0.78225007
5139.21929728	1.05924593	0.79719118
5139.24840775	1.05152324	0.80708177
5139.27740004	1.03181420	0.80989631
5139.30651084	1.07798239	0.82876207
5139.33562180	1.08048664	0.82376555
5139.36461459	1.06092533	0.87651361
5139.39372588	1.05541466	0.81078555
5139.42283733	1.05757041	0.76088346
5139.45194895	1.07609106	0.80864121
5139.48094240	1.08351917	0.80835415
5139.51005435	1.11286587	0.76056353
5139.53916646	1.11327701	0.84657159
5139.56827874	1.11834336	0.80815240
5139.59727284	1.11592437	0.76774907
5139.62638545	1.09979677	0.80278786
5139.65549822	1.07084485	0.79539995
5139.68461116	1.06677232	0.83632506
5139.71360592	1.07488776	0.82897302
5139.74271918	1.05388420	0.80476518
5139.77183261	1.09020890	0.81767432
5139.80094621	1.09751844	0.85454433
5139.82994162	1.06717581	0.80911376
5139.85905555	1.04406128	0.83668204
5139.88816964	1.03776212	0.84164083
5139.91716555	1.03551725	0.78161050
5139.94627997	1.04637544	0.75074195
5139.97539455	1.01702005	0.72125328
5140.00450930	1.01332281	0.74982837
5140.03350586	1.03703112	0.74242478
5140.06262094	1.08318872	0.72845723
5140.09173619	1.05696816	0.77028583
5140.12085160	1.04804877	0.74995043
5140.14984881	1.04480132	0.77338935
5140.17896455	1.04795148	0.77547603
5140.20808046	1.00420567	0.74056155
5140.23719652	0.99043524	0.77933905
5140.26619440	0.98896775	0.72295226
5140.29531079	0.96723585	0.66900427
5140.32442736	0.93267230	0.66028630
5140.35354408	0.94583684	0.63469904
5140.38254261	0.93524896	0.60545575
5140.41165967	0.91692739	0.58065514
5140.44077689	0.92512612	0.55580475
5140.46977591	0.93798496	0.54638665
5140.49889346	0.92279249	0.52857218
5140.52801118	0.91113860	0.55771795
5140.55712906	0.94209880	0.59619174
5140.58612874	0.96345448	0.53247231
5140.61524695	0.95443669	0.51314017
5140.64436532	0.94466082	0.55558765
5140.67348386	0.98831802	0.49293508
5140.70248420	1.02551340	0.49005718
5140.73160307	1.02173685	0.48553338
5140.76072210	1.01250836	0.43031063
5140.78984130	1.00310903	0.47396085
5140.81884229	0.99137292	0.42480059
5140.84796182	1.00931038	0.37112911
5140.87708151	1.05194012	0.39858374
5140.90608299	1.04114037	0.44948659
5140.93520301	1.02631338	0.38738731
5140.96432320	1.03446054	0.34933970
5140.99344355	1.02173371	0.39381846
